id,data,hora,autor,seguidores,titulo,likes,conteudo,replicas,categoria,ente,teoria,conflito,imagem
id_01,10/12/2025,,brasileiro__exe,11700,2026 tem eleiçoes,,"Ilustração caricatural de um homem negro, com traços faciais exagerados, segurando um cartão do programa Bolsa Família. A cabeça aparece aberta, como um esquema cerebral, com areas nomeadas:
“Cervejinha”
“Futebol”
“Levar vantagem”
“Funk/Pagode”
“Pegar mule”","Cervejinha, pagodinho, mulher e futebol quando é em outras culturas (a italiana por exemplo), ai é considerado chique. Aqui é chamam de representação do Bostil. / E o voto tem o mesmo valor que o seu! Bom dia! / 80% dos brasileiros todo final de semana / Só deveria votar quem de fato contribuí / Aqui na Bahia é em cada esquina um desses / Bicho, se esses bostileiros fossem ignorantes e incultos sem ter o direito ao voto e nem direito à auxílio pago por nós, estaria tranquilo! O problema é que além da gente sustentar esses infelizes, eles também são os que escolhem quem serão os governantes! /                                                                            Porque ele é branco? Escurece ele mais / E eles que escolhem os governantes ainda. Bela democracia kkkkkkkkkkkkkk / Achei meio racista esse desenho, queria comentar. / Não dá pra dizer que o chimpanzeiro tem a cabeça vazia
",Infrahumanização                                                           ,Brasileiro - classe popular,implicita_essencialista,Sim,Charge
id_02,10/12/2025,,mortoon_oficial,9606,MORtoon - Congresso de ratos,698,Charge comparando os políticos brasileiros do Congresso Nacional aos ratos,"hashtags como #piorcongressodahistoriadopaís
#congressoinimigodopovo
#forahugomotta ",Desumanização,Congresso Nacional,animalização,Sim,Charge
id_03,11/12/2025,,o_capirotinho,318000,Vermes.,18465,Charge que diz que o Congresso Nacional funcionando de madrugada é um banquete dos vermes ,hashtags como #congressoinimigodopovo,Desumanização,Congresso Nacional,animalização,Sim,Charge
id_04,23/08/2025,,slaoq6390,2624,Filho de anjo e demônio,216569,Um vídeo que diz que a pessoa do vídeo é filha de pai europeu e mãe nordestina,"Comentários que falam de descendência e associam esse nascimento do vídeo ao ""Anti-cristo""",Infrahumanização,Nordestino,implicita_essencialista,Sim,Metáfora moral
id_05,10/12/2025,,delfino.luizcarlos,883,Estes seres merecem ser respeitados. Quem? Os Ratos.,32,Charge que diz que os ratos merecem respeito e não deviam ser comparados aos politicos do congresso brasileiro,,Desumanização,Congresso Nacional,animalização,Sim,Charge
id_06,10/12/2025,,esquerdaverde,252000,DOSIMETRIA É COISA DE RATOS! CONGRESSO INIMIGO DO POVO,69036,Charge que trata a dosimetria como se fosse coisa de ratos,"Comentários incentivando a mobilização nas ruas e coisas como ""sem anistia"", hashtags associadas a revolta com o Congresso",Desumanização,Congresso Nacional,animalização,Sim,Charge
id_07,13/12/2025,,anoticiadoceara,128000,Vereadora celebra entrega de tambor de lixo e gera repercussão,27371,"Notícia acerca da vereadora Maninha do Hospital (MDB), do município de Barreira (CE), que aparece ao lado de uma moradora comemorando a entrega de um “tambor de lixo” na localidade de Bom Sucesso. A cena é descrita como “inusitada” e passou a ser amplamente ironizada, dividindo opiniões entre usuários e agentes políticos locais.","Comentários satirizando a entrega, e comparando esse ato com uma espécie de migalhas que são aceitas pela população. ""O Brasil que deu certo"", ""o tambor representa o voto dela"", ""o povo merece, parabéns pela conquista""",Infrahumanização,Moradores de comunidades periféricas,paternalismo,Sim,Vídeo de um registro político
id_08,15/12/2025,,_simone_witte,5793,"Quem com PORCOS se junta, FARELO come!",16,"Notícia de que o SBT viveu um ""sábado para esquecer"", com pior IBOPE em quatro décadas. O enunciado utiliza um provérbio popular com metáfora animalizante, associando um grupo político (“esquerdistas”) a porcos e a algo degradado (“farelo”).",Quem lacra não lucra / Faz o L,Desumanização,SBT/esquerdistas,animalização,Sim,Metáfora animalizante
id_09,11/12/2025,,alexisfonteyne30,64600,"Quem vende a sua dignidade e liberdade por um bocado de “benefício” do Estado, merece viver na miséria do Populismo.",2616,"Publicação de cunho político que associa o recebimento de benefícios à compra de votos, caracterizando eleitores como moralmente culpados por sua condição socioeconômica.",Pergunte quantas dessas pessoas saíram da pobreza por conta dessa medidas: 0 . Perfeito!!!! Mudar essa cultura mudaria tudo! / 2027 o país quebra. Tudo vindo do dinheiro público em prol de votos,Infrahumanização,População pobre,causalidade moralizante,Sim,Populismo/moralismo
id_10,15/11/2025,,deborapsol,21700,Padre invade ritual de matriz africana e profere ofensa racista,1414,"Publicação que relata a invasão de um ritual de matriz africana por um padre em Praia Grande, com ofensa racista ao líder religioso",Comentários criticando a atitude do padre e repudiando a intolerância religiosa,Desumanização,Praticantes da religião de matriz africana,animalização,Sim,Imagem animalizante racial
id_11,16/12/2025,,diariodoporto,77200,"Racismo no colégio Dom Pedro II: aluno foi chamado de macaco por colegas de turma diversas vezes, denuncia mãe",1491,"Publicação que relata ataques racistas repetidos contra um aluno de 12 anos do Colégio Pedro II, incluindo ofensas de cunho racial, o silêncio da vítima por medo, a indignação da família diante da falta inicial de punições e a nota oficial da escola informando a abertura de procedimentos de apuração e reafirmando o compromisso com o combate ao racismo.","Comentários lamentando o ocorrido, e pedindo a expulsão dos alunos que foram racistas ",Desumanização,Criança negra,animalização,Sim,Imagem simbólica de animalização racial
id_12,16/12/2025,,vasconcelopinheiro,2452,Post associa adversário político a figura demoníaca em disputa eleitoral,1,"Publicação de cunho político que celebra o resultado eleitoral no Chile e projeta cenário semelhante para o Brasil, utilizando linguagem religiosa e moralizante ao associar o comunismo e o Partido dos Trabalhadores a figuras demoníacas. O texto apresenta dados de pesquisa eleitoral de segundo turno",,Desumanização,Partido dos trabalhadores (PT),demonização,Sim,Imagem de demonização política
id_13,16/12/2025,12:24,cidadenalente,263,ATENÇÃO! Nova ordem emitida ao Jument0 Tele-guiado: Hora de amar o STB!,,"Post de cunho político que utiliza linguagem ofensiva e metafórica para associar eleitores do Partido dos Trabalhadores a um animal, retratando-os como indivíduos irracionais e manipuláveis. 
",,Desumanização,Eleitores do Partido dos Trabalhadores (PT),animalização,Sim,Metáfora animalizante
id_14,04/01/2026,,ribeiro_lia,85600,Querem invasão dos EUA no Brasil!,49,"Post de cunho político que defende a intervenção militar dos Estados Unidos no Brasil e utiliza linguagem ofensiva para desqualificar opositores políticos, especialmente associados à esquerda. O post recorre a metáforas animais e termos depreciativos, como “burro”, “asnos” e “jumentos”, além de associar o grupo-alvo à ignorância e à incapacidade cognitiva","Já oraram pra pneu hoje?, além de emojis de risadas",Desumanização,Grupo político da esquerda brasileira,animalização,Sim,Charge
id_15,23/12/2025,,keylashirlaine_ofc,166000,Modelo exclusivo para jumentos ,390,"Vídeo que satiriza o uso de havaianas por parte dos brasileiros de esquerda, chamados no vídeo de ""Comunistas"", e os compara aos jumentos.",Comentários com emojis de risos,Desumanização,Grupo político da esquerda brasileira,animalização,Sim,Vídeo produzido por IA
id_16,04/01/2026,21:10,fabio_soares76,1442,Tem que ser muito BURRO pra cair neste mar fétido de DESINFORMAÇÃO da Globo.,18,"Post que critica o programa Fantástico e a cobertura da Rede Globo sobre a Venezuela, acusando o veículo de desinformação e alinhamento político. O post utiliza linguagem ofensiva e desumanizante, chamando jornalistas e críticos de “burros”, “jumentos” e “vermes”",Me recuso a assistir isso hj... sem estômago,Desumanização,Jornalistas da Rede Globo/ mídia,animalização,Sim,Tweet
id_17,09/10/2025,,campos_de_direita,3482,Amém,19,"Publicação que compara Lula ao ""capeta"", e satiriza o mês de outubro como outubro violeta",Amém,Desumanização e demonização,O presidente Lula,essencialização religiosa,Sim,Imagem de demonização política
id_18,04/01/2026,,campos_de_direita,3482,Jumentos!,85,"Post que critica a esquerda brasileira, em um teor ofensivo, a chama de nojenta. O autor sugere que a Venezuela estaria comemorando a captura de Maduro, e a esquerda brasileira estaria triste. Por fim, chama esse povo de ridículo.","Estão preocupados com as drogas e a participação dos lucros do narcotráfico, que a política de esquerda brasileira sempre esteve envolvida não é segredo pra ninguém! / Eu fiz um comentário em algum insta e vieram de bixo emcima falando merda. Tudo esquerda com certeza",Desumanização,Grupo político da esquerda brasileira,animalização,Sim,Imagem de degradação moral
id_19,05/01/2026,10:30,anaodiplomatico,48200,OS JUMENTOS VAO INVADIR O MUNDO,69,"Publicação feita por IA que sugere que Lula e Nicolás Maduro irão invadir o mundo com um exército de jumentos, abraçados",Quero ver petista chorando procurando maduro e Lulu / Dois corruptos ladrões,Desumanização,Grupo político da esquerda brasileira e os presidentes Lula e Nicolás Maduro,animalização,Sim,Imagem feita por IA com metáfora animal
id_20,02/12/2025,,felinosemfiltro,60000,A tua piscina está cheia de ratos,38727,"Crítica ao Congresso, descrito como inimigo do povo, corrupto, descomprometido com a população e moralmente indigno.","O CONGRESSO ESTÁ NECESSITANDO DE UMA DESRATIZAÇÃO/  E até quando vamos permitir que eles suguem o nosso sangue? / Musica na poderia ser melhor. O golpe continua. Enfraquecendo os poderes, brindando deputados condenados , buscando anistia para dizer..",Desumanização,Congresso Nacional,animalização,Sim,Imagem política
id_21,06/01/2026,,wellington_yunes,905,Lixo Humano… se é que pode ser considerado humano esse filho do capeta.,21,"Post acusa esquerda de incoerência política ao exigir a prisão de Bolsnaro por tentativa de golpe, mas defende a liberdade de Nicolás Maduro",Cérebro invertido! Nova Síndrome 😂,Desumanização,Nicolás Maduro,essencialização e demonização,Sim,Imagem política
id_22,05/01/2026,,rithi_souza,31800,"Meu nome é Rithiele Souza. Torno público este print para denunciar um episódio de racismo cometido por um bombeiro militar, que fez comentários ofensivos e discriminatórios a meu respeito em um grupo de mensagens.",16720,"Denúncia de episódio de racismo cometido por um bombeiro militar contra uma médica negra, envolvendo comentários ofensivos e discriminatórios em mensagens privadas","Agora imagine esse cara precisar ser atendido por você e a vida dele em suas mãos? Eu só consigo pensar nisso… segue firme, Dra. A gente precisa de você dando carteirada mesmo / Não esconde o cara não, posta pra td mundo ver a foto."" / ""Já que não dá pra colocar fogo, que sejam processados e paguem caro por isso. / Ele não gosta de nordestino, e tem sotaque de nordestino .",Desumanização,Mulher negra,animalização,Sim,Relato pessoal com denúncia pública
id_23,17/07/2025,,marceloeustaquio399,376,Por isso sou anti essa raça do demônio PT,,"Publicação política que compara dados econômicos de governos distintos e utiliza linguagem de ataque ideológico extremo, além de usar de uma associação demonizante ao se referir ao PT",,Desumanização,Partido dos trabalhadores (PT) e militantes petistas,demonização,Sim,Imagem política
id_24,04/01/2026,,rodriguespaulomarcelo,1950,Hipócritas nojentos,6,"Publicação que diz que a esquerda é incoerente ao exigir a prisão de Bolsnaro por tentativa de golpe, mas defende a liberdade de Nicolás Maduro. Por fim, chama a esquerda de hipócrita e nojenta",,Infrahumanização,Grupo político da esquerda,essencialização,Sim,Imagem política
id_25,04/01/2026,,zznigri,2247,"Hipocritas , nojentos , sofreram lavagem cerebral nas faculdades e hoje defecam com os dedos !!!",45,Post que considera a esquerda política hipócrita e nojenta por condenarem o sequestro de Nicolás Maduro,"Absurdo , mas eu consigo ver algo de bom nisso, se alguém é capaz de defender, hamas, maduro e pt, essas pessoas nao servem para estar no nosso meio, abs / Nem no nosso mundo se é que vc me entende./ Miseráveis",Infrahumanização,Grupo político da esquerda,essencialização,Sim,Post de cunho político
id_26,02/11/2022,,direitafederativa,13100,Nine pig se espojando!,,"Charge que coloca o presidente Lula como um porco, e que satiriza sua fala ao dizer que ele iria devolver a democracia para o Brasil ",,Desumanização,O presidente Lula,animalização,Sim,Charge
id_27,28/03/2020,,sagradofalandodeaxe,37900,E agora depois disso os vermes ainda estarão roubando mais e mais. A corrupção nunca acabará!!!!!,39,Publicação que critica a corrupção política ao trazer uma frase reflexiva como ponto de debate,,Desumanização,Políticos,animalização,Sim,Post de cunho político
id_28,13/08/2015,,zonacountry,121000,Esse é o retrato da política brasileira hoje,264,"Charge que representa diversos partidos políticos (PT, PMDB, PSDB, DEM, PP, PDT, PR) como porcos disputando comida em um cocho, acompanhada do texto: “Como você sabe quem é governo e quem é oposição?” / “Não preciso saber, o cocho onde eles comem é um só”.",Verdade,Desumanização,Classe política brasileira,animalização,Sim,Charge
id_29,26/08/2020,,fantonimarcioluis,365,#lixopolítico,5,Post que considera os ex-membros do partido de Jair Bolsonaro como traidores e lixos políticos por deixarem de apoiar Bolsonaro,,Desumanização,Políticos,implícita_moral,Sim,Imagem política
id_30,01/06/2021,,marciorrrangel,1010,político dentro de uma caixa de lixo,16,Charge que representa políticos sendo jogados dentro de uma lata de lixo por uma multidão. O texto sugere a ideia de descartar a classe política como lixo ,amei,Desumanização,Grupo político,implícita_moral,Sim,Charge
id_31,18/07/2021,,zazacq,1092,O capeta de 9 dedos quer sua alma por isso comprou à Foice de SP e ao Partido Político STF .,1,"Post que coloca Lula como um ""capeta"" , e que trata ele como se ele fosse um demônio, mentiroso e ladrão que quer roubar a alma dos eleitores brasileiros",,Desumanização,O presidente Lula,demonização,Sim,Imagem política
id_32,13/09/2022,,direitoemalerta,6718,"Bolsonaro chama Lula de ""capeta que quer implantar o comunismo",,"Post que diz que Lula é um ""capeta"" que quer implantar o mal pela frente, que nesse caso seria o comunismo no Brasil",,Desumanização,O presidente Lula,demonização,Sim,Imagem política
id_33,12/01/2023,,esquerdacaxias,5685,Apresentador do SBT chama Moraes de ‘encarnação do capeta,,"Post com vídeo e texto que relata falas do apresentador Cláudio Prisco Paraíso, que se refere ao ministro do STF Alexandre de Moraes como “encarnação do capeta”, “tirano” e “pobre de espírito”,",,Desumanização,"Alexandre de Moraes, ministro do STF",demonização,Sim,Notícia política
id_34,03/04/2025,,adnildocarvalho,2048,"Ser de esquerda é uma merda, né?",,"Post que sugere que os eleitores do PT são jumentos e que ser de esquerda é ""uma merda""",,Desumanização,Eleitores da esquerda,animalização,Sim,Imagem de IA
id_35,12/05/2019,,xavv.e,847,arte antiga mas sempre válida pelo visto.,,"Publicação que coloca Bolsonaro como um animal, um ""porco""",muito bom!,Desumanização,Jair Bolsonaro,animalização,Sim,Imagem política
id_36,08/10/2019,,jubamayer,1492,porco fascista,311,"Publicação que compara Bolsonaro a um porco ""fascista""",,Desumanização,Jair Bolsonaro,animalização,Sim,Imagem política
id_37,29/01/2022,,leninartes,1711,Ratos Políticos,221,"Post que coloca Lula como um rato ""ladrão"", responsável por desvios milionários do país",great post / foda demais lenin,Desumanização,O presidente Lula,animalização,Sim,Imagem política
id_38,29/10/2019,,rubensmedeiros67,1617,"Sem maiores comentários, pois políticos são ratos.",19,Charge que compara o congresso nacional a uma casa de ratos,,Desumanização,Classe política brasileira,animalização,Sim,Charge
id_39,14/08/2021,,galhardo_renato,1437,"Eleição não se vence, se toma!",16,"Post que acusa ministros do STF e grupos políticos de serem “demônios genocidas”, “globalistas” e “comunistas”, associados à conspiração, perseguição religiosa e dominação mundial.",são imundos,Desumanização,Grupo político do STF,demonização,Sim,Imagem política
id_40,15/7/2021,,izaacmedeiros,968,Mais uma vez os DEMÔNIOS que estão transvestido de POLÍTICOS sangram o nosso BRASIL. Até quando o povo vai ficar inertes?,3,Post que coloca os políticos brasileiros como demônios por aprovarem o fundão eleitoral de 6 bilhões para as eleições de 2022,,Desumanização,Políticos ,demonização,Sim,Notícia política
id_41,30/03/2021,,joanarolivsousa,1371,Os demônios estão cercando por todos os lados. E muitos políticos e esses sindicalistas estão vendendo a alma ao diabo e colocando em risco a Soberania Nacional.,3,"Publicação que acusa os sindicatos brasileiros ligados à esquerda de demônios e que venderam a alma para o diabo por receberem 1,7 milhão do partido comunista chinês",As 30 moedas de ouro que só trará desgraça a quem recebeu,Desumanização,Sindicatos brasileiros,demonização,Sim,Notícia política
id_42,09/06/2023,,johnkagesamuraijk,36700,Olha os abiguinhos dos políticos de estimação da Direita. Apertada PASSADORA DE PANO para esses demônios FDPs tiranos genocidas de crianças,39,"Post que coloca políticos mundiais como Barack Obama, e figuras como Bill Gates, como satanistas, demônios e genocistas",Tanta gente do bem! Não conseguimos nos unir contra eles? Não me conformo ,Desumanização,Políticos mundiais,demonização,Sim,Imagem política
id_43,28/02/2023,,sergiokruke,96600,Adivinhem qual é o partido político do tinhoso.... #PartidodasTrevas,222,Charge que sugere que o PT seria um partido demonìaco por ser favorável a legalização do aborto,Deus salve nosso Brasil / Demônio dos inferno / ta na sigla PT partido das trevas,Desumanização,Partido dos trabalhadores (PT),demonização,Sim,Charge
id_44,05/10/2024,,robsonclaudiorobim,1155,Vamos Varrer a Quadrilha do PT  #partidodastrevas #corrupção,,"Post que coloca o PT como um partido de ratos, e o dia 06 de outubro seria o dia de ""dedetizar"", ""exterminar"" esse partido do Brasil",,Desumanização,Partido dos trabalhadores (PT),animalização,Sim,Imagem política
id_45,06/04/2023,,sonia_silvino,1462,Partido dos trambiqueiros ,6,"Publicação que supõe que o PT seria o maior produtor de ladrões, estelionatários, mentirosos e lixos humanos do mundo",,Desumanização,Partido dos trabalhadores (PT),implícita_moral,Sim,Imagem política
id_46,31/08/2024,,alexmassa.br,6371,Petista sendo petista. Mistura de jumento com anta,6,Post que sugere que os eleitores do PT são uma mistura de jumento com anta. ,,Desumanização,Eleitores do Partido dos Trabalhadores (PT),animalização,Sim,Imagem política
id_47,29/12/2024,,patriotasbr26,2824,"Esquerda Inútil, Idiota, Burra",2,"Publicação que sugere que os esquerdistas são carraptos, como uma resposta por os eleitores da direita serem chamados de gado",,Desumanização,Grupo político da esquerda,animalização,Sim,Charge
id_48,11/01/2026,,barinarboria,441,Apoiadores de impostos são criminosos,1,"Post que coloca os políticos, partidos e sindicatos como um todo como vermes ",,Desumanização,Políticos e sindicatos,animalização,Sim,Imagem de IA
